code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
000001,平安银行,银行,深圳,6.77,171.7,171.7,335205600.0,0.0,937400.0,5646500.0,3.29,1.14,12.54,0.86,19910403,9197300.0,5.36,8.56,6.8,0.0,23.6,406242.0
000002,万 科Ａ,全国地产,深圳,13.5,97.15,110.39,143222208.0,121240816.0,1116536.88,887485.81,0.8,1.267,12.68,1.8,19910129,8381792.0,7.59,50.32,26.09,34.76,7.94,261810.0
000004,国农科技,生物制药,深圳,327.86,0.83,0.84,32035.1,19057.85,2974.78,93.87,0.01,0.024,1.57,9.88,19910114,3566.48,0.42,427.49,152.59,81.94,1.28,9382.0
000005,世纪星源,房产服务,深圳,173.47,9.51,10.59,287118.34,117099.11,3138.87,68836.46,0.65,0.008,1.26,2.12,19901210,-43765.95,-0.41,34.48,145.88,38.2,2.98,127249.0
000006,深振业Ａ,区域地产,深圳,9.94,13.48,13.5,1246334.38,963907.31,267.29,48432.15,0.36,0.373,4.32,1.14,19920427,262907.88,1.95,-31.28,48.39,38.98,31.57,82728.0
000007,全新好,酒店餐饮,深圳,0.0,3.09,3.46,42590.43,17050.28,6837.25,15702.4,0.45,-0.032,1.08,6.39,19920413,-13661.4,-0.39,3.07,-152.59,73.32,-49.42,13351.0
000008,神州高铁,运输设备,北京,72.02,25.43,28.18,988794.19,509633.59,24362.1,290150.16,1.03,0.044,2.52,1.67,19920507,148262.61,0.53,31.7,1.34,48.57,9.58,80438.0
000009,中国宝安,综合类,深圳,37.13,21.2,21.49,2825562.0,1925251.75,365375.63,80019.31,0.37,0.053,2.36,1.68,19910625,187668.31,0.87,47.59,43.49,35.78,2.65,171333.0
000010,美丽生态,建筑施工,深圳,0.0,5.22,8.2,264955.91,237805.55,5805.55,149537.16,1.82,-0.104,1.31,3.33,19951027,-125571.97,-1.53,-60.67,-86.54,5.45,-79.03,54302.0
000011,深物业A,区域地产,深圳,31.35,1.76,5.96,459995.69,371701.91,3030.78,11893.8,0.2,0.139,4.74,1.84,19920330,181549.73,3.05,-37.36,-77.23,16.46,10.06,44698.0
000012,南 玻Ａ,玻璃,深圳,16.88,17.36,28.63,2052481.25,613818.19,1149429.75,102939.5,0.36,0.13,3.08,1.35,19920228,438843.81,1.53,10.66,-10.22,25.07,6.45,152677.0
000014,沙河股份,全国地产,深圳,598.54,2.02,2.02,182606.0,165362.16,1576.97,996.57,0.05,0.011,3.67,2.44,19920602,31022.9,1.54,-56.58,-49.07,26.48,1.22,34161.0
000016,深康佳Ａ,家用电器,深圳,12.15,15.97,24.08,2813400.5,2117993.75,178910.19,10473.21,0.04,0.142,3.3,1.05,19920327,421183.09,1.75,54.53,1007.16,6.71,1.94,89709.0
000017,深中华A,文教休闲,深圳,1551.86,3.03,5.51,7015.8,6364.03,368.15,62783.43,1.14,0.002,0.03,132.13,19920331,-119487.25,-2.17,6.0,179.54,10.16,1.07,54872.0
000018,神州长城,装修装饰,深圳,11.73,13.35,16.98,1102556.63,921912.88,33142.51,-129934.97,-0.77,0.085,1.3,1.53,19920616,165116.63,0.97,-47.54,-46.39,17.31,9.07,73328.0
000019,深深宝Ａ,软饮料,深圳,0.0,4.16,4.97,104048.4,51136.62,30367.56,35899.93,0.72,-0.037000000000000005,1.87,3.96,19921012,1815.56,0.04,-1.04,-2.74,28.22,-13.35,70909.0
000020,深华发Ａ,元器件,深圳,507.4,1.81,2.83,59359.9,31303.08,8434.61,14658.72,0.52,0.01,1.14,8.76,19920428,-18367.39,-0.65,-22.41,30.13,11.26,0.82,27697.0
